subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
12,OSCURAS,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.6666666666666666,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.6666666666666666,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
13,OSCURAS,2,1,0.06429100507328638,0.037118429085533484,0.004133333333333334,3,0.12666666666666668,0.03214550253664315,0.018559214542766725,0.0010333333333333312,3,-0.9366666666666666,0.03214550253664315,0.018559214542766725,0.0010333333333333312,3,0.9366666666666666,0.0642910050732863,0.03711842908553345,0.004133333333333325,3
14,OSCURAS,2,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.8333333333333334,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,-0.5833333333333334,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.5833333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
15,OSCURAS,2,1,0,0,0,3,2,0,0,0,3,0,0,0,0,3,0,0,0,0,3
16,OSCURAS,2,1,0.10000000000000003,0.0577350269189626,0.010000000000000007,3,1,0.050000000000000044,0.028867513459481315,0.0025000000000000044,3,-0.5,0.050000000000000044,0.028867513459481315,0.0025000000000000044,3,0.5,0.10000000000000009,0.05773502691896263,0.010000000000000018,3
17,OSCURAS,2,1,0.15275252316519466,0.08819171036881969,0.02333333333333333,3,0.3666666666666667,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,-0.8166666666666667,0.07637626158259735,0.04409585518440985,0.0058333333333333345,3,0.8166666666666667,0.1527525231651947,0.0881917103688197,0.023333333333333338,3
19,OSCURAS,2,1,0.05773502691896256,0.033333333333333326,0.003333333333333332,3,0.26666666666666666,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,-0.8666666666666667,0.028867513459481315,0.016666666666666684,8.333333333333348e-4,3,0.8666666666666667,0.05773502691896263,0.03333333333333337,0.003333333333333339,3
20,OSCURAS,2,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.8333333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,-0.5833333333333334,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.5833333333333334,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
1,OSCURAS,2.7,1,0.4163331998932266,0.24037008503093266,0.17333333333333337,3,1.4666666666666668,0.15419748144193576,0.08902595741886395,0.02377686328303612,3,-0.45679012345679015,0.15419748144193576,0.08902595741886395,0.02377686328303612,3,0.45679012345679015,0.4163331998932266,0.24037008503093266,0.17333333333333337,3
2,OSCURAS,2.7,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,2.1666666666666665,0.10691671651659736,0.06172839506172839,0.011431184270690441,3,-0.1975308641975309,0.10691671651659736,0.06172839506172839,0.011431184270690441,3,0.1975308641975309,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
3,OSCURAS,2.7,1,0.14433756729740643,0.08333333333333333,0.020833333333333332,3,0.5833333333333334,0.05345835825829873,0.030864197530864227,0.002857796067672616,3,-0.7839506172839507,0.05345835825829873,0.030864197530864227,0.002857796067672616,3,0.7839506172839507,0.14433756729740643,0.08333333333333333,0.020833333333333332,3
4,OSCURAS,2.7,1,0.7637626158259734,0.4409585518440985,0.5833333333333334,3,2.1666666666666665,0.2828750428985086,0.1633179821644809,0.08001828989483309,3,-0.1975308641975309,0.1670092501045517,0.09642283550502047,0.0278920896204847,3,0.2716049382716049,0.4509249752822896,0.26034165586355523,0.20333333333333348,3
5,OSCURAS,2.7,1,0,0,0,3,1.5,0,0,0,3,-0.4444444444444445,0,0,0,3,0.4444444444444445,0,0,0,3
6,OSCURAS,2.7,1,0.36055512754639896,0.2081665999466133,0.13,3,0.6,0.13353893612829593,0.0770987407209679,0.0178326474622771,3,-0.7777777777777778,0.13353893612829593,0.0770987407209679,0.0178326474622771,3,0.7777777777777778,0.360555127546399,0.20816659994661332,0.13000000000000006,3
7,OSCURAS,2.7,1,0.02516611478423584,0.014529663145135584,6.333333333333337e-4,3,0.17333333333333334,0.00932078325342078,0.005381356720420644,8.687700045724927e-5,3,-0.9358024691358025,0.00932078325342078,0.005381356720420644,8.687700045724927e-5,3,0.9358024691358025,0.02516611478423597,0.014529663145135659,6.333333333333403e-4,3
