"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala"
14 1 5 6.65 6 "OSCURAS"
14 1 2 2.7 3 "OSCURAS"
14 2 1 2 1 "VISUAL"
14 2 1 2 2 "VISUAL"
14 2 6 9 4 "VISUAL"
14 2 5 6.65 5 "VISUAL"
14 2 2 2.7 3 "VISUAL"
14 2 2 2.7 4 "VISUAL"
14 2 4 4.9 5 "VISUAL"
14 2 3 3.65 2 "VISUAL"
14 2 5 6.65 6 "VISUAL"
14 2 4 4.9 5 "VISUAL"
14 2 6 9 7 "VISUAL"
14 2 2 2.7 4 "VISUAL"
14 2 3 3.65 6 "VISUAL"
14 2 5 6.65 7 "VISUAL"
14 2 3 3.65 4 "VISUAL"
14 2 1 2 1 "VISUAL"
14 2 4 4.9 3 "VISUAL"
14 2 6 9 7 "VISUAL"
15 1 1 2 2 "OSCURAS"
15 1 4 4.9 2 "OSCURAS"
15 1 2 2.7 1.5 "OSCURAS"
15 1 4 4.9 2 "OSCURAS"
15 1 6 9 3.5 "OSCURAS"
15 1 5 6.65 4.2 "OSCURAS"
15 1 5 6.65 4.5 "OSCURAS"
15 1 4 4.9 3 "OSCURAS"
15 1 1 2 1 "OSCURAS"
15 1 6 9 5 "OSCURAS"
15 1 3 3.65 2 "OSCURAS"
15 1 6 9 5 "OSCURAS"
15 1 2 2.7 2 "OSCURAS"
15 1 2 2.7 3 "OSCURAS"
15 1 5 6.65 5 "OSCURAS"
15 1 1 2 1 "OSCURAS"
15 1 3 3.65 2 "OSCURAS"
15 1 3 3.65 3 "OSCURAS"
15 2 1 2 1 "VISUAL"
15 2 2 2.7 3 "VISUAL"
15 2 1 2 1 "VISUAL"
15 2 3 3.65 3 "VISUAL"
15 2 6 9 4 "VISUAL"
15 2 3 3.65 2 "VISUAL"
15 2 2 2.7 2 "VISUAL"
15 2 3 3.65 3 "VISUAL"
15 2 6 9 4 "VISUAL"
15 2 1 2 2 "VISUAL"
15 2 4 4.9 5 "VISUAL"
15 2 4 4.9 3 "VISUAL"
15 2 5 6.65 5 "VISUAL"
15 2 4 4.9 3 "VISUAL"
15 2 6 9 5 "VISUAL"
15 2 2 2.7 2 "VISUAL"
15 2 5 6.65 4 "VISUAL"
15 2 5 6.65 5 "VISUAL"
16 1 2 2.7 1 "OSCURAS"
16 1 2 2.7 0.5 "OSCURAS"
16 1 4 4.9 1 "OSCURAS"
16 1 6 9 10 "OSCURAS"
16 1 5 6.65 15 "OSCURAS"
16 1 5 6.65 15 "OSCURAS"
16 1 6 9 20 "OSCURAS"
16 1 6 9 25 "OSCURAS"
16 1 3 3.65 7 "OSCURAS"
16 1 1 2 1 "OSCURAS"
16 1 4 4.9 3 "OSCURAS"
16 1 3 3.65 2 "OSCURAS"
16 1 1 2 0.5 "OSCURAS"
16 1 1 2 0.3 "OSCURAS"
16 1 5 6.65 1 "OSCURAS"
16 1 4 4.9 1 "OSCURAS"
16 1 2 2.7 0.5 "OSCURAS"
16 1 3 3.65 2 "OSCURAS"
16 2 5 6.65 5 "VISUAL"
16 2 4 4.9 10 "VISUAL"
16 2 1 2 1 "VISUAL"
16 2 2 2.7 2 "VISUAL"
16 2 5 6.65 5 "VISUAL"
16 2 3 3.65 2 "VISUAL"
16 2 4 4.9 2 "VISUAL"
16 2 1 2 1 "VISUAL"
16 2 5 6.65 30 "VISUAL"
16 2 4 4.9 20 "VISUAL"
16 2 3 3.65 2 "VISUAL"
16 2 2 2.7 1 "VISUAL"
16 2 3 3.65 2 "VISUAL"
16 2 6 9 30 "VISUAL"
16 2 2 2.7 1 "VISUAL"
16 2 6 9 40 "VISUAL"
16 2 1 2 1 "VISUAL"
16 2 6 9 30 "VISUAL"
17 1 3 3.65 3 "OSCURAS"
17 1 5 6.65 5 "OSCURAS"
17 1 4 4.9 5 "OSCURAS"
17 1 3 3.65 5 "OSCURAS"
17 1 4 4.9 5 "OSCURAS"
17 1 4 4.9 3 "OSCURAS"
17 1 1 2 1 "OSCURAS"
17 1 1 2 1 "OSCURAS"
17 1 1 2 1 "OSCURAS"
17 1 2 2.7 2 "OSCURAS"
17 1 6 9 5 "OSCURAS"
17 1 6 9 7 "OSCURAS"
17 1 2 2.7 1 "OSCURAS"
17 1 5 6.65 3 "OSCURAS"
17 1 3 3.65 2 "OSCURAS"
17 1 6 9 5 "OSCURAS"
17 1 2 2.7 2 "OSCURAS"
17 1 5 6.65 5 "OSCURAS"
17 2 5 6.65 5 "VISUAL"
17 2 6 9 7 "VISUAL"
17 2 3 3.65 2 "VISUAL"
17 2 1 2 1 "VISUAL"
17 2 4 4.9 3 "VISUAL"
17 2 5 6.65 5 "VISUAL"
17 2 2 2.7 1 "VISUAL"
17 2 1 2 1 "VISUAL"
17 2 3 3.65 3 "VISUAL"
17 2 1 2 1 "VISUAL"
17 2 4 4.9 3 "VISUAL"
17 2 2 2.7 2 "VISUAL"
17 2 5 6.65 5 "VISUAL"
17 2 6 9 7 "VISUAL"
17 2 4 4.9 5 "VISUAL"
17 2 2 2.7 2 "VISUAL"
17 2 6 9 7 "VISUAL"
17 2 3 3.65 3 "VISUAL"
18 1 4 4.9 0.5 "OSCURAS"
18 1 1 2 0.2 "OSCURAS"
18 1 4 4.9 0.7 "OSCURAS"
18 1 4 4.9 0.7 "OSCURAS"
18 1 2 2.7 0.2 "OSCURAS"
18 1 1 2 0.1 "OSCURAS"
18 1 5 6.65 0.5 "OSCURAS"
18 1 3 3.65 1 "OSCURAS"
18 1 2 2.7 0.2 "OSCURAS"
18 1 3 3.65 0.5 "OSCURAS"
18 1 2 2.7 0.2 "OSCURAS"
18 1 5 6.65 1 "OSCURAS"
18 1 6 9 1.5 "OSCURAS"
18 1 6 9 1.5 "OSCURAS"
18 1 3 3.65 0.5 "OSCURAS"
18 1 1 2 0.2 "OSCURAS"
18 1 5 6.65 0.5 "OSCURAS"
18 1 6 9 1 "OSCURAS"
18 2 6 9 4 "VISUAL"
18 2 4 4.9 2 "VISUAL"
18 2 3 3.65 2 "VISUAL"
18 2 6 9 6 "VISUAL"
18 2 6 9 6 "VISUAL"
18 2 2 2.7 2 "VISUAL"
18 2 2 2.7 3 "VISUAL"
18 2 3 3.65 2 "VISUAL"
18 2 5 6.65 7 "VISUAL"
18 2 5 6.65 3 "VISUAL"
18 2 1 2 2 "VISUAL"
18 2 4 4.9 2 "VISUAL"
18 2 1 2 2 "VISUAL"
18 2 2 2.7 3 "VISUAL"
18 2 5 6.65 5 "VISUAL"
18 2 1 2 2 "VISUAL"
18 2 4 4.9 3 "VISUAL"
18 2 3 3.65 3 "VISUAL"
19 1 5 6.65 2.5 "OSCURAS"
19 1 1 2 0.5 "OSCURAS"
19 1 5 6.65 2 "OSCURAS"
19 1 2 2.7 1 "OSCURAS"
19 1 6 9 3 "OSCURAS"
19 1 6 9 3 "OSCURAS"
19 1 2 2.7 0.5 "OSCURAS"
19 1 3 3.65 1 "OSCURAS"
19 1 3 3.65 2 "OSCURAS"
19 1 6 9 4 "OSCURAS"
19 1 4 4.9 2 "OSCURAS"
19 1 3 3.65 1 "OSCURAS"
19 1 4 4.9 1 "OSCURAS"
19 1 5 6.65 2 "OSCURAS"
19 1 2 2.7 0.5 "OSCURAS"
19 1 1 2 0.3 "OSCURAS"
19 1 4 4.9 1 "OSCURAS"
19 1 1 2 0.2 "OSCURAS"
19 2 5 6.65 1.5 "VISUAL"
19 2 4 4.9 1.5 "VISUAL"
19 2 6 9 2.5 "VISUAL"
19 2 4 4.9 1 "VISUAL"
19 2 2 2.7 0.5 "VISUAL"
19 2 1 2 0.3 "VISUAL"
19 2 2 2.7 1 "VISUAL"
19 2 6 9 2 "VISUAL"
19 2 3 3.65 1.5 "VISUAL"
19 2 1 2 0.5 "VISUAL"
19 2 4 4.9 1.5 "VISUAL"
19 2 2 2.7 1 "VISUAL"
19 2 3 3.65 1.5 "VISUAL"
19 2 1 2 0.5 "VISUAL"
19 2 5 6.65 2 "VISUAL"
19 2 3 3.65 1.5 "VISUAL"
19 2 5 6.65 2 "VISUAL"
19 2 6 9 2.5 "VISUAL"
2 1 6 9 9 "OSCURAS"
2 1 6 9 10 "OSCURAS"
2 1 3 3.65 6 "OSCURAS"
2 1 4 4.9 4 "OSCURAS"
2 1 5 6.65 8 "OSCURAS"
2 1 2 2.7 3 "OSCURAS"
2 1 6 9 11 "OSCURAS"
2 1 1 2 2 "OSCURAS"
2 1 4 4.9 7 "OSCURAS"
2 1 2 2.7 3 "OSCURAS"
2 1 1 2 1 "OSCURAS"
2 1 1 2 0.5 "OSCURAS"
2 1 3 3.65 10 "OSCURAS"
2 1 5 6.65 12 "OSCURAS"
2 1 2 2.7 4 "OSCURAS"
2 1 3 3.65 7 "OSCURAS"
2 1 4 4.9 8 "OSCURAS"
2 1 5 6.65 10 "OSCURAS"
2 2 4 4.9 10 "VISUAL"
2 2 6 9 14 "VISUAL"
2 2 2 2.7 5 "VISUAL"
2 2 2 2.7 8 "VISUAL"
2 2 5 6.65 15 "VISUAL"
2 2 4 4.9 12 "VISUAL"
2 2 2 2.7 10 "VISUAL"
2 2 5 6.65 18 "VISUAL"
2 2 6 9 20 "VISUAL"
