"nsub" "nbloque" "itrial" "distancia" "respuesta" "condicion_sala"
11 1 6 9 4 "SALA_CHICA"
11 1 2 2.7 1.5 "SALA_CHICA"
11 1 3 3.65 2 "SALA_CHICA"
11 1 5 6.65 4 "SALA_CHICA"
11 1 4 4.9 3 "SALA_CHICA"
12 1 1 2 0.3 "SALA_CHICA"
12 1 4 4.9 0.35 "SALA_CHICA"
12 1 1 2 0.15 "SALA_CHICA"
12 1 6 9 1 "SALA_CHICA"
12 1 4 4.9 0.7 "SALA_CHICA"
12 1 5 6.65 0.9 "SALA_CHICA"
12 1 2 2.7 0.25 "SALA_CHICA"
12 1 1 2 0.1 "SALA_CHICA"
12 1 2 2.7 0.4 "SALA_CHICA"
12 1 3 3.65 0.5 "SALA_CHICA"
12 1 4 4.9 0.5 "SALA_CHICA"
12 1 6 9 1 "SALA_CHICA"
12 1 3 3.65 0.4 "SALA_CHICA"
12 1 6 9 1.3 "SALA_CHICA"
12 1 2 2.7 0.3 "SALA_CHICA"
12 1 5 6.65 2 "SALA_CHICA"
12 1 5 6.65 2.1 "SALA_CHICA"
12 1 3 3.65 0.7 "SALA_CHICA"
13 1 2 2.7 1 "SALA_CHICA"
13 1 2 2.7 1 "SALA_CHICA"
13 1 2 2.7 1 "SALA_CHICA"
13 1 5 6.65 4 "SALA_CHICA"
13 1 6 9 4 "SALA_CHICA"
13 1 5 6.65 4 "SALA_CHICA"
13 1 5 6.65 4 "SALA_CHICA"
13 1 1 2 1 "SALA_CHICA"
13 1 4 4.9 3 "SALA_CHICA"
13 1 3 3.65 1 "SALA_CHICA"
13 1 4 4.9 3 "SALA_CHICA"
13 1 6 9 4 "SALA_CHICA"
13 1 3 3.65 1 "SALA_CHICA"
13 1 1 2 0.7 "SALA_CHICA"
13 1 3 3.65 1 "SALA_CHICA"
13 1 4 4.9 3 "SALA_CHICA"
13 1 6 9 4 "SALA_CHICA"
13 1 1 2 0.7 "SALA_CHICA"
