"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
23 1 3 3.65 1 "SALA_CHICA" -2.65 -0.726027397260274
23 1 1 2 0.5 "SALA_CHICA" -1.5 -0.75
23 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
23 1 5 6.65 8 "SALA_CHICA" 1.35 0.203007518796992
23 1 2 2.7 3 "SALA_CHICA" 0.3 0.111111111111111
23 1 3 3.65 8 "SALA_CHICA" 4.35 1.19178082191781
23 1 2 2.7 10 "SALA_CHICA" 7.3 2.7037037037037
23 1 1 2 0.5 "SALA_CHICA" -1.5 -0.75
23 1 2 2.7 3 "SALA_CHICA" 0.3 0.111111111111111
23 1 1 2 0.5 "SALA_CHICA" -1.5 -0.75
23 1 5 6.65 5 "SALA_CHICA" -1.65 -0.24812030075188
24 1 5 6.65 2 "SALA_GRANDE" -4.65 -0.699248120300752
24 1 6 9 3 "SALA_GRANDE" -6 -0.666666666666667
24 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
24 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
24 1 5 6.65 1.5 "SALA_GRANDE" -5.15 -0.774436090225564
24 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
24 1 6 9 2 "SALA_GRANDE" -7 -0.777777777777778
24 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
24 1 1 2 0.5 "SALA_GRANDE" -1.5 -0.75
24 1 1 2 0.3 "SALA_GRANDE" -1.7 -0.85
24 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
24 1 5 6.65 1.5 "SALA_GRANDE" -5.15 -0.774436090225564
24 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
24 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
24 1 2 2.7 1.5 "SALA_GRANDE" -1.2 -0.444444444444444
24 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
24 1 6 9 2 "SALA_GRANDE" -7 -0.777777777777778
24 1 2 2.7 1 "SALA_GRANDE" -1.7 -0.62962962962963
25 1 6 9 4 "SALA_CHICA" -5 -0.555555555555556
25 1 5 6.65 3.5 "SALA_CHICA" -3.15 -0.473684210526316
25 1 3 3.65 2.5 "SALA_CHICA" -1.15 -0.315068493150685
25 1 4 4.9 2 "SALA_CHICA" -2.9 -0.591836734693878
25 1 6 9 5 "SALA_CHICA" -4 -0.444444444444444
25 1 5 6.65 4 "SALA_CHICA" -2.65 -0.398496240601504
25 1 6 9 5.5 "SALA_CHICA" -3.5 -0.388888888888889
25 1 4 4.9 2 "SALA_CHICA" -2.9 -0.591836734693878
25 1 4 4.9 0.3 "SALA_CHICA" -4.6 -0.938775510204082
25 1 1 2 0.15 "SALA_CHICA" -1.85 -0.925
25 1 1 2 0.2 "SALA_CHICA" -1.8 -0.9
25 1 3 3.65 2 "SALA_CHICA" -1.65 -0.452054794520548
25 1 1 2 1 "SALA_CHICA" -1 -0.5
25 1 2 2.7 2.5 "SALA_CHICA" -0.2 -0.0740740740740741
25 1 3 3.65 3 "SALA_CHICA" -0.65 -0.178082191780822
25 1 2 2.7 1.5 "SALA_CHICA" -1.2 -0.444444444444444
25 1 5 6.65 4 "SALA_CHICA" -2.65 -0.398496240601504
25 1 2 2.7 0.5 "SALA_CHICA" -2.2 -0.814814814814815
26 1 1 2 0.6 "SALA_GRANDE" -1.4 -0.7
26 1 4 4.9 1.2 "SALA_GRANDE" -3.7 -0.755102040816326
26 1 2 2.7 0.8 "SALA_GRANDE" -1.9 -0.703703703703704
26 1 4 4.9 1.3 "SALA_GRANDE" -3.6 -0.73469387755102
26 1 6 9 2 "SALA_GRANDE" -7 -0.777777777777778
26 1 5 6.65 2.5 "SALA_GRANDE" -4.15 -0.62406015037594
26 1 5 6.65 3 "SALA_GRANDE" -3.65 -0.548872180451128
26 1 4 4.9 1 "SALA_GRANDE" -3.9 -0.795918367346939
26 1 1 2 0.4 "SALA_GRANDE" -1.6 -0.8
26 1 6 9 1.2 "SALA_GRANDE" -7.8 -0.866666666666667
26 1 3 3.65 1 "SALA_GRANDE" -2.65 -0.726027397260274
26 1 6 9 2 "SALA_GRANDE" -7 -0.777777777777778
26 1 2 2.7 0.6 "SALA_GRANDE" -2.1 -0.777777777777778
26 1 2 2.7 0.6 "SALA_GRANDE" -2.1 -0.777777777777778
26 1 5 6.65 2.5 "SALA_GRANDE" -4.15 -0.62406015037594
26 1 1 2 0.4 "SALA_GRANDE" -1.6 -0.8
