"nsub" "nbloque" "trial" "distancia" "respuesta" "condicion_sala" "SesgoAbs" "SesgoRel"
6 1 4 4.9 1.5 "OSCURAS" -3.4 -0.693877551020408
6 1 3 3.65 1 "OSCURAS" -2.65 -0.726027397260274
6 1 5 6.65 2.2 "OSCURAS" -4.45 -0.669172932330827
6 1 2 2.7 0.5 "OSCURAS" -2.2 -0.814814814814815
6 1 1 2 0.3 "OSCURAS" -1.7 -0.85
6 1 3 3.65 0.5 "OSCURAS" -3.15 -0.863013698630137
6 1 1 2 0.2 "OSCURAS" -1.8 -0.9
6 1 6 9 2 "OSCURAS" -7 -0.777777777777778
6 1 2 2.7 0.3 "OSCURAS" -2.4 -0.888888888888889
6 1 5 6.65 1.5 "OSCURAS" -5.15 -0.774436090225564
6 1 4 4.9 1 "OSCURAS" -3.9 -0.795918367346939
6 2 4 4.9 1 "VR" -3.9 -0.795918367346939
6 2 5 6.65 2 "VR" -4.65 -0.699248120300752
6 2 3 3.65 0.3 "VR" -3.35 -0.917808219178082
6 2 5 6.65 1.5 "VR" -5.15 -0.774436090225564
6 2 5 6.65 2 "VR" -4.65 -0.699248120300752
6 2 2 2.7 0.3 "VR" -2.4 -0.888888888888889
6 2 2 2.7 0.3 "VR" -2.4 -0.888888888888889
6 2 6 9 2 "VR" -7 -0.777777777777778
6 2 1 2 0.3 "VR" -1.7 -0.85
6 2 1 2 0.5 "VR" -1.5 -0.75
6 2 4 4.9 1.5 "VR" -3.4 -0.693877551020408
6 2 6 9 2.5 "VR" -6.5 -0.722222222222222
6 2 2 2.7 0.3 "VR" -2.4 -0.888888888888889
6 2 3 3.65 0.5 "VR" -3.15 -0.863013698630137
6 2 6 9 1.5 "VR" -7.5 -0.833333333333333
6 2 3 3.65 1 "VR" -2.65 -0.726027397260274
6 2 4 4.9 1.5 "VR" -3.4 -0.693877551020408
6 2 1 2 0.3 "VR" -1.7 -0.85
7 1 5 6.65 0.7 "OSCURAS" -5.95 -0.894736842105263
7 1 3 3.65 0.2 "OSCURAS" -3.45 -0.945205479452055
7 1 1 2 0.15 "OSCURAS" -1.85 -0.925
7 1 6 9 0.4 "OSCURAS" -8.6 -0.955555555555555
7 1 6 9 0.7 "OSCURAS" -8.3 -0.922222222222222
7 1 1 2 0.1 "OSCURAS" -1.9 -0.95
7 1 5 6.65 0.35 "OSCURAS" -6.3 -0.947368421052632
7 1 2 2.7 0.15 "OSCURAS" -2.55 -0.944444444444445
7 1 5 6.65 0.8 "OSCURAS" -5.85 -0.879699248120301
7 1 2 2.7 0.17 "OSCURAS" -2.53 -0.937037037037037
7 1 3 3.65 0.45 "OSCURAS" -3.2 -0.876712328767123
7 1 4 4.9 0.4 "OSCURAS" -4.5 -0.918367346938775
7 1 2 2.7 0.2 "OSCURAS" -2.5 -0.925925925925926
7 1 4 4.9 0.15 "OSCURAS" -4.75 -0.969387755102041
7 1 1 2 0.5 "OSCURAS" -1.5 -0.75
7 1 6 9 0.15 "OSCURAS" -8.85 -0.983333333333333
7 1 3 3.65 0.1 "OSCURAS" -3.55 -0.972602739726027
7 1 4 4.9 0.1 "OSCURAS" -4.8 -0.979591836734694
7 2 5 6.65 0.55 "VR" -6.1 -0.917293233082707
7 2 3 3.65 0.8 "VR" -2.85 -0.780821917808219
7 2 6 9 0.8 "VR" -8.2 -0.911111111111111
7 2 6 9 0.8 "VR" -8.2 -0.911111111111111
7 2 2 2.7 0.8 "VR" -1.9 -0.703703703703704
7 2 4 4.9 0.8 "VR" -4.1 -0.836734693877551
7 2 1 2 0.2 "VR" -1.8 -0.9
7 2 4 4.9 0.15 "VR" -4.75 -0.969387755102041
7 2 5 6.65 0.4 "VR" -6.25 -0.93984962406015
7 2 1 2 0.15 "VR" -1.85 -0.925
7 2 3 3.65 0.15 "VR" -3.5 -0.958904109589041
7 2 3 3.65 0.15 "VR" -3.5 -0.958904109589041
7 2 5 6.65 0.2 "VR" -6.45 -0.969924812030075
7 2 1 2 0.1 "VR" -1.9 -0.95
7 2 4 4.9 0.2 "VR" -4.7 -0.959183673469388
7 2 2 2.7 0.25 "VR" -2.45 -0.907407407407407
