"subject","room_condition","target_distance","block","perc_dist_sd","perc_dist_sem","perc_dist_var","perc_dist_n","perc_dist","rel_bias_signed_sd","rel_bias_signed_sem","rel_bias_signed_var","rel_bias_signed_n","rel_bias_signed","rel_bias_unsigned_sd","rel_bias_unsigned_sem","rel_bias_unsigned_var","rel_bias_unsigned_n","rel_bias_unsigned","abs_bias_sd","abs_bias_sem","abs_bias_var","abs_bias_n"
"1","No visual information",2.7,"1",0.152752523165195,0.0881917103688197,0.0233333333333333,3,0.366666666666667,0.0565750085797016,0.0326635964328961,0.00320073159579331,3,-0.864197530864197,0.0565750085797016,0.0326635964328961,0.00320073159579331,3,0.864197530864197,0.152752523165195,0.0881917103688196,0.0233333333333333,3
"2","No visual information",2.7,"1",0.288675134594813,0.166666666666667,0.0833333333333333,3,0.666666666666667,0.106916716516597,0.0617283950617284,0.0114311842706904,3,-0.753086419753086,0.106916716516597,0.0617283950617284,0.0114311842706904,3,0.753086419753086,0.288675134594813,0.166666666666667,0.0833333333333333,3
"3","No visual information",2.7,"1",0,0,0,3,3,0,0,0,3,0.111111111111111,0,0,0,3,0.111111111111111,0,0,0,3
"4","No visual information",2.7,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,2.33333333333333,0.213833433033195,0.123456790123457,0.0457247370827618,3,-0.135802469135803,0.085533373213278,0.0493827160493828,0.0073159579332419,3,0.209876543209877,0.230940107675851,0.133333333333333,0.0533333333333334,3
"6","No visual information",2.7,"1",0.0577350269189626,0.0333333333333333,0.00333333333333334,3,0.366666666666667,0.0213833433033195,0.0123456790123457,0.000457247370827619,3,-0.864197530864198,0.0213833433033195,0.0123456790123457,0.000457247370827619,3,0.864197530864198,0.0577350269189626,0.0333333333333334,0.00333333333333334,3
"7","No visual information",2.7,"1",0,0,0,3,2,0,0,0,3,-0.259259259259259,0,0,0,3,0.259259259259259,0,0,0,3
"8","No visual information",2.7,"1",0.288675134594813,0.166666666666667,0.0833333333333333,3,0.833333333333333,0.106916716516597,0.0617283950617284,0.0114311842706904,3,-0.691358024691358,0.106916716516597,0.0617283950617284,0.0114311842706904,3,0.691358024691358,0.288675134594813,0.166666666666667,0.0833333333333333,3
"9","No visual information",2.7,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,1.66666666666667,0.213833433033195,0.123456790123457,0.0457247370827618,3,-0.382716049382716,0.213833433033195,0.123456790123457,0.0457247370827618,3,0.382716049382716,0.577350269189626,0.333333333333333,0.333333333333333,3
"10","No visual information",2.7,"1",0.175119007154183,0.0714920352984241,0.0306666666666667,6,1.23333333333333,0.0648588915385861,0.0264785315920089,0.00420667581161408,6,-0.54320987654321,0.0648588915385861,0.0264785315920089,0.00420667581161408,6,0.54320987654321,0.175119007154183,0.0714920352984241,0.0306666666666667,6
"11","No visual information",2.7,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,1.33333333333333,0.213833433033195,0.123456790123457,0.0457247370827618,3,-0.506172839506173,0.213833433033195,0.123456790123457,0.0457247370827618,3,0.506172839506173,0.577350269189626,0.333333333333333,0.333333333333333,3
"12","No visual information",2.7,"1",0,0,0,3,1,0,0,0,3,-0.62962962962963,0,0,0,3,0.62962962962963,0,0,0,3
"13","No visual information",2.7,"1",0,0,0,3,3,0,0,0,3,0.111111111111111,0,0,0,3,0.111111111111111,0,0,0,3
"14","No visual information",2.7,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,1.66666666666667,0.213833433033195,0.123456790123457,0.0457247370827618,3,-0.382716049382716,0.213833433033195,0.123456790123457,0.0457247370827618,3,0.382716049382716,0.577350269189626,0.333333333333333,0.333333333333333,3
"15","No visual information",2.7,"1",0.5,0.288675134594813,0.25,3,1,0.185185185185185,0.106916716516597,0.0342935528120713,3,-0.62962962962963,0.185185185185185,0.106916716516597,0.0342935528120713,3,0.62962962962963,0.5,0.288675134594813,0.25,3
"16","No visual information",2.7,"1",1.3228756555323,0.763762615825973,1.75,3,2.5,0.489953946493443,0.282875042898509,0.240054869684499,3,-0.0740740740740741,0.262762921651763,0.151706243548698,0.0690443529949703,3,0.345679012345679,0.709459888459759,0.409606857581484,0.503333333333334,3
"1","No visual information",3.65,"1",0.305505046330389,0.176383420737639,0.0933333333333333,3,0.533333333333333,0.0837000126932574,0.0483242248596273,0.00700569212485145,3,-0.853881278538813,0.0837000126932574,0.0483242248596273,0.00700569212485145,3,0.853881278538813,0.305505046330389,0.176383420737639,0.0933333333333334,3
"2","No visual information",3.65,"1",0.461880215351701,0.266666666666667,0.213333333333333,3,1.23333333333333,0.126542524753891,0.0730593607305936,0.016013010571089,3,-0.662100456621005,0.126542524753891,0.0730593607305936,0.016013010571089,3,0.662100456621005,0.461880215351701,0.266666666666667,0.213333333333333,3
"3","No visual information",3.65,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,3.33333333333333,0.158178155942363,0.091324200913242,0.0250203290173266,3,-0.0867579908675799,0.0474534467827089,0.0273972602739726,0.00225182961155939,3,0.150684931506849,0.173205080756888,0.0999999999999999,0.03,3
"4","No visual information",3.65,"1",0.577350269189626,0.333333333333333,0.333333333333333,3,3.66666666666667,0.158178155942363,0.091324200913242,0.0250203290173266,3,0.00456621004566212,0.0474534467827089,0.0273972602739726,0.00225182961155939,3,0.123287671232877,0.173205080756888,0.0999999999999999,0.03,3
"6","No visual information",3.65,"1",0,0,0,3,0.3,0,0,0,3,-0.917808219178082,0,0,0,3,0.917808219178082,0,0,0,3
"7","No visual information",3.65,"1",1,0.577350269189626,1,3,4,0.273972602739726,0.158178155942363,0.0750609870519797,3,0.0958904109589041,0.140591820258819,0.0811707252722885,0.019766059923688,3,0.214611872146119,0.513160143944688,0.296273147243853,0.263333333333333,3
"8","No visual information",3.65,"1",0.5,0.288675134594813,0.25,3,2,0.136986301369863,0.0790890779711816,0.0187652467629949,3,-0.452054794520548,0.136986301369863,0.0790890779711816,0.0187652467629949,3,0.452054794520548,0.5,0.288675134594813,0.25,3
"9","No visual information",3.65,"1",0,0,0,3,3,0,0,0,3,-0.178082191780822,0,0,0,3,0.178082191780822,0,0,0,3
