subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_m,log_bias_unsigned_sd,log_bias_unsigned_sem,log_bias_unsigned_var,log_bias_unsigned_n,log_bias_unsigned_m
3,No visual information,2.7,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.6666666666666667,0.10691671651659736,0.06172839506172839,0.011431184270690443,3,-0.3827160493827161,0.10691671651659736,0.06172839506172839,0.011431184270690443,3,0.3827160493827161,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.07213341321301375,0.0416462455361,0.005203229301759387,3,-0.21362625956720613,0.07213341321301375,0.0416462455361,0.005203229301759387,3,0.21362625956720613
4,No visual information,2.7,1,0.5,0.2886751345948129,0.25,3,1.5,0.18518518518518517,0.10691671651659737,0.034293552812071325,3,-0.4444444444444445,0.18518518518518517,0.10691671651659737,0.034293552812071325,3,0.4444444444444445,0.5,0.2886751345948129,0.25,3,0.1512376042912552,0.0873170715491503,0.022872812951758293,3,-0.2723233459190999,0.1512376042912552,0.0873170715491503,0.022872812951758293,3,0.2723233459190999
5,No visual information,2.7,1,0,0,0,3,2,0,0,0,3,-0.2592592592592593,0,0,0,3,0.2592592592592593,0,0,0,3,0,0,0,3,-0.13033376849500614,0,0,0,3,0.13033376849500614
6,No visual information,2.7,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.8333333333333334,0.1069167165165974,0.06172839506172842,0.01143118427069045,3,-0.6913580246913581,0.1069167165165974,0.06172839506172842,0.01143118427069045,3,0.6913580246913581,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.17379974903075138,0.10034333188799371,0.03020635276315217,3,-0.5317070960469811,0.17379974903075138,0.10034333188799371,0.03020635276315217,3,0.5317070960469811
7,No visual information,2.7,1,0,0,0,3,1,0,0,0,3,-0.6296296296296297,0,0,0,3,0.6296296296296297,0,0,0,3,0,0,0,3,-0.43136376415898736,0,0,0,3,0.43136376415898736
8,No visual information,2.7,1,1,0.5773502691896258,1,3,2,0.37037037037037035,0.21383343303319474,0.1371742112482853,3,-0.2592592592592593,0.2670778722565918,0.15419748144193576,0.07133058984910838,3,0.3333333333333333,0.721110255092798,0.41633319989322665,0.5200000000000002,3,0.2412715902292603,0.13929821756667254,0.0582119802517561,3,-0.17198001403110613,0.20267560423702463,0.11701481466441624,0.04107740055284304,3,0.20248500773822287
9,No visual information,2.7,1,0.1527525231651947,0.0881917103688197,0.023333333333333338,3,1.8333333333333333,0.05657500857970173,0.03266359643289618,0.003200731595793324,3,-0.3209876543209877,0.05657500857970173,0.03266359643289618,0.003200731595793324,3,0.3209876543209877,0.1527525231651947,0.0881917103688197,0.023333333333333338,3,0.03580420435900531,0.02067156702479209,0.001281941049781415,3,-0.16911329011046694,0.03580420435900531,0.02067156702479209,0.001281941049781415,3,0.16911329011046694
10,No visual information,2.7,1,1.5275252316519468,0.881917103688197,2.3333333333333335,3,6.333333333333333,0.5657500857970172,0.3266359643289618,0.32007315957933236,3,1.3456790123456788,0.5657500857970172,0.3266359643289618,0.32007315957933236,3,1.3456790123456788,1.5275252316519468,0.881917103688197,2.3333333333333335,3,0.10291122788629341,0.059415825122786425,0.010590720825064615,3,0.36203998307821467,0.10291122788629341,0.059415825122786425,0.010590720825064615,3,0.36203998307821467
11,No visual information,2.7,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.8333333333333334,0.21383343303319474,0.12345679012345681,0.045724737082761785,3,-0.6913580246913581,0.21383343303319474,0.12345679012345681,0.045724737082761785,3,0.6913580246913581,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.2754660848484891,0.1590404182398875,0.07588156390175499,3,-0.573353341583081,0.2754660848484891,0.1590404182398875,0.07588156390175499,3,0.573353341583081
12,No visual information,2.7,1,0.5131601439446883,0.29627314724385295,0.2633333333333333,3,1.3666666666666667,0.19005931257210681,0.1097307952755011,0.036122542295381796,3,-0.4938271604938272,0.19005931257210681,0.1097307952755011,0.036122542295381796,3,0.4938271604938272,0.5131601439446883,0.29627314724385295,0.2633333333333333,3,0.18476646987360987,0.10667497111874555,0.03413864838955558,3,-0.31987918044201036,0.18476646987360987,0.10667497111874555,0.03413864838955558,3,0.31987918044201036
13,No visual information,2.7,1,0.20816659994661332,0.12018504251546634,0.043333333333333356,3,1.4333333333333333,0.07709874072096788,0.04451297870943197,0.00594421582075903,3,-0.46913580246913583,0.07709874072096788,0.04451297870943197,0.00594421582075903,3,0.46913580246913583,0.20816659994661332,0.12018504251546634,0.043333333333333356,3,0.0655576691078914,0.03784973790688552,0.004297807978859779,3,-0.2782329349059104,0.0655576691078914,0.03784973790688552,0.004297807978859779,3,0.2782329349059104
14,No visual information,2.7,1,1.5275252316519468,0.881917103688197,2.3333333333333335,3,3.3333333333333335,0.5657500857970172,0.3266359643289618,0.3200731595793324,3,0.23456790123456783,0.3919631571947541,0.2263000343188069,0.15363511659807952,3,0.4074074074074074,1.058300524425836,0.6110100926607787,1.1199999999999999,3,0.19940797782605438,0.11512824967643143,0.03976354162067619,3,0.061009987414233455,0.1119626023703588,0.06464163861769769,0.012535624329543074,3,0.14789916641090423
15,No visual information,2.7,1,0.7637626158259734,0.4409585518440985,0.5833333333333334,3,2.1666666666666665,0.2828750428985086,0.1633179821644809,0.08001828989483309,3,-0.1975308641975309,0.1670092501045517,0.09642283550502047,0.0278920896204847,3,0.2716049382716049,0.4509249752822896,0.26034165586355523,0.20333333333333348,3,0.15123760429125518,0.08731707154915029,0.022872812951758286,3,-0.1132829276792124,0.10540349141379068,0.06085473414127846,0.011109896002217047,3,0.14378792138632912
16,No visual information,2.7,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.6666666666666666,0.1069167165165974,0.06172839506172842,0.01143118427069045,3,-0.7530864197530864,0.1069167165165974,0.06172839506172842,0.01143118427069045,3,0.7530864197530864,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.17379974903075138,0.10034333188799371,0.03020635276315217,3,-0.6320504279349748,0.17379974903075138,0.10034333188799371,0.03020635276315217,3,0.6320504279349748
17,No visual information,2.7,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.6666666666666667,0.21383343303319471,0.12345679012345678,0.04572473708276177,3,-0.3827160493827161,0.21383343303319471,0.12345679012345678,0.04572473708276177,3,0.3827160493827161,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.17379974903075143,0.10034333188799374,0.030206352763152186,3,-0.23067710038299988,0.17379974903075143,0.10034333188799374,0.030206352763152186,3,0.23067710038299988
19,No visual information,2.7,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.6666666666666666,0.1069167165165974,0.06172839506172842,0.01143118427069045,3,-0.7530864197530864,0.1069167165165974,0.06172839506172842,0.01143118427069045,3,0.7530864197530864,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.17379974903075138,0.10034333188799371,0.03020635276315217,3,-0.6320504279349748,0.17379974903075138,0.10034333188799371,0.03020635276315217,3,0.6320504279349748
20,No visual information,2.7,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,1.3333333333333333,0.21383343303319471,0.12345679012345678,0.04572473708276177,3,-0.5061728395061729,0.21383343303319471,0.12345679012345678,0.04572473708276177,3,0.5061728395061729,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.17379974903075143,0.10034333188799374,0.030206352763152186,3,-0.33102043227099365,0.17379974903075143,0.10034333188799374,0.030206352763152186,3,0.33102043227099365
2,No visual information,3.65,1,2.0816659994661326,1.2018504251546631,4.333333333333333,3,7.666666666666667,0.5703194519085294,0.3292740890834693,0.3252642772252454,3,1.100456621004566,0.5703194519085294,0.3292740890834693,0.3252642772252454,3,1.100456621004566,2.0816659994661326,1.2018504251546631,4.333333333333332,3,0.11379320245926458,0.065698536071806,0.01294889292593518,3,0.3121235656761588,0.11379320245926458,0.065698536071806,0.01294889292593518,3,0.3121235656761588
