subject,room_condition,target_distance,block,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
20,No visual information,2,1,0.5507570547286103,0.3179797338056486,0.30333333333333334,3,0.9666666666666667,0.2753785273643051,0.1589898669028243,0.07583333333333335,3,-0.5166666666666667,0.2753785273643051,0.1589898669028243,0.07583333333333335,3,0.5166666666666667,0.5507570547286103,0.3179797338056486,0.3033333333333334,3
3,No visual information,2.7,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,1.6666666666666667,0.10691671651659736,0.06172839506172839,0.011431184270690443,3,-0.3827160493827161,0.10691671651659736,0.06172839506172839,0.011431184270690443,3,0.3827160493827161,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
4,No visual information,2.7,1,0.5,0.2886751345948129,0.25,3,1.5,0.18518518518518517,0.10691671651659737,0.034293552812071325,3,-0.4444444444444445,0.18518518518518517,0.10691671651659737,0.034293552812071325,3,0.4444444444444445,0.5,0.2886751345948129,0.25,3
5,No visual information,2.7,1,0,0,0,3,2,0,0,0,3,-0.2592592592592593,0,0,0,3,0.2592592592592593,0,0,0,3
6,No visual information,2.7,1,0.28867513459481287,0.16666666666666666,0.08333333333333333,3,0.8333333333333334,0.1069167165165974,0.06172839506172842,0.01143118427069045,3,-0.6913580246913581,0.1069167165165974,0.06172839506172842,0.01143118427069045,3,0.6913580246913581,0.28867513459481287,0.16666666666666666,0.08333333333333333,3
7,No visual information,2.7,1,0,0,0,3,1,0,0,0,3,-0.6296296296296297,0,0,0,3,0.6296296296296297,0,0,0,3
8,No visual information,2.7,1,1,0.5773502691896258,1,3,2,0.37037037037037035,0.21383343303319474,0.1371742112482853,3,-0.2592592592592593,0.2670778722565918,0.15419748144193576,0.07133058984910838,3,0.3333333333333333,0.721110255092798,0.41633319989322665,0.5200000000000002,3
9,No visual information,2.7,1,0.1527525231651947,0.0881917103688197,0.023333333333333338,3,1.8333333333333333,0.05657500857970173,0.03266359643289618,0.003200731595793324,3,-0.3209876543209877,0.05657500857970173,0.03266359643289618,0.003200731595793324,3,0.3209876543209877,0.1527525231651947,0.0881917103688197,0.023333333333333338,3
11,No visual information,2.7,1,0.5773502691896257,0.3333333333333333,0.3333333333333333,3,0.8333333333333334,0.21383343303319474,0.12345679012345681,0.045724737082761785,3,-0.6913580246913581,0.21383343303319474,0.12345679012345681,0.045724737082761785,3,0.6913580246913581,0.5773502691896257,0.3333333333333333,0.3333333333333333,3
12,No visual information,2.7,1,0.5131601439446883,0.29627314724385295,0.2633333333333333,3,1.3666666666666667,0.19005931257210681,0.1097307952755011,0.036122542295381796,3,-0.4938271604938272,0.19005931257210681,0.1097307952755011,0.036122542295381796,3,0.4938271604938272,0.5131601439446883,0.29627314724385295,0.2633333333333333,3
